Latitude,Longitude,Depth(m),E1,E2,PeakSV,Time(UTC),"Track Name"
48.6403164047613,17.2874961373527,0.98,30.759,9.303,193.510,2020-03-19T12:46:13,"Chart 19_03_2020 [0]"
48.6403164047613,17.2875141640986,0.95,31.917,11.810,184.367,2020-03-19T12:46:15,"Chart 19_03_2020 [0]"
48.6403164047613,17.2875321908446,0.98,31.768,11.870,180.917,2020-03-19T12:46:17,"Chart 19_03_2020 [0]"
48.6403164047613,17.2875502175905,1.00,31.522,10.603,182.687,2020-03-19T12:46:18,"Chart 19_03_2020 [0]"
48.6403342724329,17.2875682443365,0.93,27.960,11.458,178.696,2020-03-19T12:46:20,"Chart 19_03_2020 [0]"
48.6403342724329,17.2875862710824,0.82,20.655,8.849,171.131,2020-03-19T12:46:21,"Chart 19_03_2020 [0]"
48.6403342724329,17.2876042978284,0.57,16.474,5.707,171.269,2020-03-19T12:46:23,"Chart 19_03_2020 [0]"
48.6403342724329,17.2876133112013,0.40,17.821,8.765,181.777,2020-03-19T12:46:25,"Chart 19_03_2020 [0]"
48.6403342724329,17.2876313379473,0.35,12.747,6.599,200.782,2020-03-19T12:46:27,"Chart 19_03_2020 [0]"
48.6403521400982,17.2876313379473,0.00,10.467,8.147,216.238,2020-03-19T12:46:29,"Chart 19_03_2020 [0]"
48.6403342724329,17.2876493646932,0.00,115.657,115.651,227.778,2020-03-19T12:46:32,"Chart 19_03_2020 [0]"
48.6403342724329,17.2876673914392,0.64,163.694,159.367,224.972,2020-03-19T12:46:36,"Chart 19_03_2020 [0]"
48.6403164047613,17.2876673914392,0.75,73.721,59.270,203.246,2020-03-19T12:46:38,"Chart 19_03_2020 [0]"
48.6403164047613,17.2876854181851,0.85,39.769,18.106,190.924,2020-03-19T12:46:39,"Chart 19_03_2020 [0]"
48.6403164047613,17.2877034449311,0.88,38.816,18.057,188.410,2020-03-19T12:46:40,"Chart 19_03_2020 [0]"
48.6403164047613,17.2877124583041,0.86,31.969,16.111,180.196,2020-03-19T12:46:42,"Chart 19_03_2020 [0]"
48.6403164047613,17.28773048505,0.81,30.208,15.656,177.527,2020-03-19T12:46:44,"Chart 19_03_2020 [0]"
48.6403164047613,17.287748511796,0.84,33.226,14.616,184.021,2020-03-19T12:46:45,"Chart 19_03_2020 [0]"
48.6402985370834,17.2877665385419,0.92,34.445,13.981,187.847,2020-03-19T12:46:47,"Chart 19_03_2020 [0]"
48.6402985370834,17.2877845652879,0.94,35.382,17.292,187.554,2020-03-19T12:46:48,"Chart 19_03_2020 [0]"
48.6402985370834,17.2878025920338,1.02,37.141,20.060,185.390,2020-03-19T12:46:50,"Chart 19_03_2020 [0]"
48.6402985370834,17.2878206187798,1.03,39.193,21.309,184.205,2020-03-19T12:46:51,"Chart 19_03_2020 [0]"
48.6402985370834,17.2878296321527,1.04,37.905,20.642,181.128,2020-03-19T12:46:53,"Chart 19_03_2020 [0]"
48.6402985370834,17.2878476588987,1.06,39.417,22.477,180.136,2020-03-19T12:46:54,"Chart 19_03_2020 [0]"
48.6402985370834,17.2878656856446,1.04,37.543,20.988,177.938,2020-03-19T12:46:55,"Chart 19_03_2020 [0]"
48.6402985370834,17.2878837123906,0.98,32.665,14.965,174.567,2020-03-19T12:46:57,"Chart 19_03_2020 [0]"
48.6402985370834,17.2879017391365,0.93,33.306,14.646,173.929,2020-03-19T12:46:58,"Chart 19_03_2020 [0]"
48.6402985370834,17.2879197658825,0.92,35.549,15.896,178.007,2020-03-19T12:46:59,"Chart 19_03_2020 [0]"
48.6402985370834,17.2879377926284,0.97,42.436,17.455,185.223,2020-03-19T12:47:01,"Chart 19_03_2020 [0]"
48.6402985370834,17.2879468060014,1.01,44.149,20.137,184.317,2020-03-19T12:47:02,"Chart 19_03_2020 [0]"
48.6402985370834,17.2879648327473,0.89,30.441,12.684,170.238,2020-03-19T12:47:04,"Chart 19_03_2020 [0]"
48.6402985370834,17.2879828594933,0.88,13.138,1.828,165.122,2020-03-19T12:47:05,"Chart 19_03_2020 [0]"
48.6402985370834,17.2880008862392,0.69,10.326,1.927,172.396,2020-03-19T12:47:07,"Chart 19_03_2020 [0]"
48.6402985370834,17.2880189129852,0.74,24.104,8.874,181.862,2020-03-19T12:47:08,"Chart 19_03_2020 [0]"
48.6402985370834,17.2880369397311,0.80,31.109,12.370,182.658,2020-03-19T12:47:10,"Chart 19_03_2020 [0]"
48.6402985370834,17.2880459531041,0.80,18.996,5.316,172.254,2020-03-19T12:47:11,"Chart 19_03_2020 [0]"
48.6402985370834,17.2880639798501,0.57,15.428,3.760,174.268,2020-03-19T12:47:12,"Chart 19_03_2020 [0]"
48.6402985370834,17.288082006596,0.52,26.112,13.515,185.233,2020-03-19T12:47:14,"Chart 19_03_2020 [0]"
48.6402985370834,17.288100033342,0.49,30.342,16.925,191.085,2020-03-19T12:47:15,"Chart 19_03_2020 [0]"
48.6402985370834,17.2881180600879,0.47,30.281,15.866,197.753,2020-03-19T12:47:16,"Chart 19_03_2020 [0]"
48.6402985370834,17.2881360868338,0.49,29.382,15.272,204.360,2020-03-19T12:47:18,"Chart 19_03_2020 [0]"
48.6402985370834,17.2881541135798,0.49,27.400,14.937,202.144,2020-03-19T12:47:19,"Chart 19_03_2020 [0]"
48.6403164047613,17.2881541135798,0.47,28.054,14.841,197.127,2020-03-19T12:47:20,"Chart 19_03_2020 [0]"
48.6403164047613,17.2881631269528,0.43,26.125,11.881,194.311,2020-03-19T12:47:21,"Chart 19_03_2020 [0]"
48.6403164047613,17.2881811536987,0.46,25.165,11.691,195.620,2020-03-19T12:47:22,"Chart 19_03_2020 [0]"
48.6403164047613,17.2881991804447,0.41,25.018,12.127,195.143,2020-03-19T12:47:24,"Chart 19_03_2020 [0]"
48.6403164047613,17.2882172071906,0.38,23.349,10.429,202.544,2020-03-19T12:47:25,"Chart 19_03_2020 [0]"
48.6403164047613,17.2882352339366,0.39,23.445,9.386,209.806,2020-03-19T12:47:27,"Chart 19_03_2020 [0]"
48.6403164047613,17.2882532606825,0.44,24.415,10.010,204.615,2020-03-19T12:47:29,"Chart 19_03_2020 [0]"
48.6403164047613,17.2882622740555,0.65,27.469,13.578,196.672,2020-03-19T12:47:31,"Chart 19_03_2020 [0]"
48.6403164047613,17.2882803008014,0.72,32.251,18.675,189.695,2020-03-19T12:47:33,"Chart 19_03_2020 [0]"
